,X,Y,Z,U,V,W
1 days 11:58:20,3972.1782779524374,-2166.0742073464435,5241.785602836183,5.311197819116628,5.064499664905296,-1.9224876686999486
1 days 12:00:00,4478.477957696562,-1647.6783282813287,5018.480897261786,4.804697020787336,5.293081643514184,-2.539147896319604
1 days 12:01:40,4931.19978201431,-1109.5702813144626,4734.972210967363,4.240698714260906,5.4583454325204634,-3.1253650833232536
1 days 12:03:20,5324.924213614204,-558.1875238341947,4394.6580060495,3.625923249427432,5.558313884783375,-3.6741258421743757
1 days 12:05:00,5654.935612352811,-0.12590116916986005,4001.6163835576335,2.967701577366789,5.591782776235237,-4.178854661780274
1 days 12:06:40,5917.278057102494,557.9368342927667,3560.5584682224044,2.273894255809961,5.558338428064995,-4.633491650005153
1 days 12:08:20,6108.80479716172,1109.322410246519,3076.771712276318,1.5527987367189588,5.458366939359021,-5.032569110973001
1 days 12:10:00,6227.216390558084,1647.4302976847312,2556.058642423891,0.8130539782801449,5.293053936394877,-5.371279301420687
1 days 12:11:40,6271.090217435969,2165.818985007704,2004.6660702645659,0.06353448698281161,5.064373851891493,-5.64553784915111
1 days 12:13:20,6239.898382831308,2658.282208812632,1429.2117079925608,-0.6867557591468697,4.775069627201843,-5.852036418037128
1 days 12:15:00,6134.01511535565,3118.9259484401546,836.6024576899539,-1.428797383169423,4.428620590389571,-5.988287673963061
1 days 12:16:40,5954.712868389776,3542.2385252249114,233.9524266709451,-2.1536663273618957,4.0292015733760485,-6.052657945827558
1 days 12:18:20,5704.146681281009,3923.1590630979317,-371.5055426327776,-2.852648811839357,3.5816300423484897,-6.044389335870304
1 days 12:20:00,5385.328306715883,4257.137480416818,-972.5060789530954,-3.5173490285010702,3.091306432592858,-5.9636089632089035
1 days 12:21:40,5002.088179338377,4540.190542728321,-1561.841670173237,-4.139796786809586,2.564143661158712,-5.811325924981797
1 days 12:23:20,4559.028975832683,4768.948373502079,-2132.448274523145,-4.712544307511936,2.0064928268898368,-5.589416206334056
1 days 12:25:00,4061.467437504707,4940.695072170413,-2677.4926048736356,-5.228758965333867,1.42506032683436,-5.300594990189029
1 days 12:26:40,3515.370227033614,5053.399376311561,-3190.4524273874767,-5.682302674816601,0.8268246805132924,-4.948379106450136
1 days 12:28:20,2927.279178403211,5105.7379872213,-3665.196093716523,-6.067804200052379,0.21894753562017494,-4.537037852262449
1 days 12:30:00,2304.2333718228656,5097.109227548723,-4096.053420252209,-6.380717161787061,-0.3913122251379259,-4.071537108326745
1 days 12:31:40,1653.6824753190417,5027.638510248462,-4477.883500180073,-6.61736916324836,-0.9966872950457212,-3.5574738207748546
1 days 12:33:20,983.3981335904817,4898.174800116285,-4806.1337242608815,-6.774997722883015,-1.5899864477861851,-3.0010059345706623
1 days 12:35:00,301.38245920469507,4710.279122238769,-5076.891857909215,-6.8517756309690965,-2.164176276576737,-2.408777905266309
1 days 12:36:40,-384.22823944325694,4466.204306726351,-5286.9315757069335,-6.846826090762088,-2.7124617899496957,-1.78784022642725
1 days 12:38:20,-1065.256623084363,4168.868057556653,-5433.7482342093035,-6.760227209840455,-3.2283595382819406,-1.1455697977806911
1 days 12:40:00,-1733.5818537959576,3821.8173565780844,-5515.587926870781,-6.5930072765921395,-3.7057700447753747,-0.4895845312049547
1 days 12:41:40,-2381.231836690599,3429.1877520040985,-5531.466986405044,-6.347131409917541,-4.139042376000458,0.17233931273394926
1 days 12:43:20,-3000.477980771536,2995.6541933580115,-5481.183698375551,-6.0254788727680655,-4.523037312981213,0.8323548282768339
1 days 12:45:00,-3583.923120278689,2526.378300311279,-5365.321111018222,-5.631813411464339,-4.8531829123438905,1.4826285360120701
1 days 12:46:40,-4124.590027570399,2026.9475394598453,-5185.241099790148,-5.17074354683414,-5.125527785051393,2.1154289907216755
1 days 12:48:20,-4616.001798413062,1503.3123396469036,-4943.0703116191935,-4.6476768345386015,-5.336786881268039,2.7232112077961994
1 days 12:50:00,-5052.260707634945,961.715707092157,-4641.676530248775,-4.0687628999259084,-5.484383521776708,3.2987047875584334
1 days 12:51:40,-5428.117785168755,408.6223046289753,-4284.637825456518,-3.4408309316327945,-5.566483578512431,3.834997094665447
1 days 12:53:20,-5739.0385008130115,-149.35901200835247,-3876.2015337059697,-2.7713148404426056,-5.582023729735684,4.325618455136631
1 days 12:55:00,-5981.258116216983,-705.5515473857076,-3421.2371368407257,-2.0681734989786347,-5.530731043522013,4.764621025580393
1 days 12:56:40,-6151.830628462858,-1253.2922206606934,-2925.1788242647726,-1.3397983378045994,-5.41313403281151,5.146656945123027
1 days 12:58:20,-6248.6665193232775,-1786.0100811842883,-2393.9634137769144,-0.594917426467474,-5.230564122240372,5.467048116046812
1 days 13:00:00,-6270.561650861573,-2297.307966862418,-1833.9584470135908,0.15751197269648526,-4.985146132715931,5.721851694842068
1 days 13:01:40,-6217.214500886496,-2781.0392511908035,-1251.8875514654537,0.9084117736225569,-4.6797787492061005,5.907914883712549
1 days 13:03:20,-6089.232489155098,-3231.3853564812457,-654.7472182909155,1.6487001845344555,-4.318102386262478,6.022921631595514
